date, value
7/2/1959,0.293
7/6/1959,0.291
7/7/1959,0.282
7/8/1959,0.2846
7/9/1959,0.276
7/10/1959,0.2757
7/13/1959,0.278
7/14/1959,0.2855
7/15/1959,0.2873
7/16/1959,0.2915
7/17/1959,0.2916
7/20/1959,0.2893
7/21/1959,0.2916
7/22/1959,0.2943
7/23/1959,0.2939
7/24/1959,0.2933
7/27/1959,0.2932
7/28/1959,0.2935
7/29/1959,0.285
7/30/1959,0.2874
7/31/1959,0.2915
8/3/1959,0.2932
8/4/1959,0.29
8/5/1959,0.2905
8/6/1959,0.2945
8/7/1959,0.2993
8/10/1959,0.302
8/11/1959,0.3028
8/12/1959,0.3049
8/13/1959,0.308
8/14/1959,0.3065
8/17/1959,0.294
8/18/1959,0.301
8/19/1959,0.302
8/20/1959,0.301
8/21/1959,0.3001
8/24/1959,0.2998
8/25/1959,0.298
8/26/1959,0.3018
8/27/1959,0.304
8/28/1959,0.3069
8/31/1959,0.3123
9/1/1959,0.307
9/2/1959,0.3078
9/3/1959,0.3083
9/4/1959,0.3101
9/8/1959,0.3113
9/9/1959,0.3089
9/10/1959,0.3075
9/11/1959,0.3076
9/14/1959,0.3023
9/15/1959,0.2983
9/16/1959,0.2996
9/17/1959,0.2979
9/18/1959,0.2943
9/21/1959,0.291
9/22/1959,0.2917
9/23/1959,0.297
9/24/1959,0.3018
9/25/1959,0.3026
9/28/1959,0.3003
9/29/1959,0.3025
9/30/1959,0.3038
10/1/1959,0.305
10/2/1959,0.3092
10/5/1959,0.3108
10/6/1959,0.3117
10/7/1959,0.3076
10/8/1959,0.309
10/9/1959,0.3099
10/13/1959,0.308
10/14/1959,0.312
10/15/1959,0.3112
10/16/1959,0.3115
10/19/1959,0.316
10/20/1959,0.322
10/21/1959,0.3246
10/22/1959,0.3288
10/23/1959,0.3265
10/26/1959,0.3272
10/27/1959,0.331
10/28/1959,0.3315
10/29/1959,0.332
10/30/1959,0.33
11/2/1959,0.3335
11/4/1959,0.3418
11/5/1959,0.3425
11/6/1959,0.3474
11/9/1959,0.3487
11/10/1959,0.353
11/11/1959,0.3472
11/12/1959,0.3422
11/13/1959,0.3365
11/16/1959,0.3285
11/17/1959,0.3197
11/18/1959,0.3215
11/19/1959,0.3259
11/20/1959,0.3237
11/23/1959,0.32
11/24/1959,0.3222
11/25/1959,0.317
11/27/1959,0.3121
11/30/1959,0.3095
12/1/1959,0.3175
12/2/1959,0.3219
12/3/1959,0.319
12/4/1959,0.3192
12/7/1959,0.3216
12/8/1959,0.3264
12/9/1959,0.3265
12/10/1959,0.3286
12/11/1959,0.3248
12/14/1959,0.3235
12/15/1959,0.3284
12/16/1959,0.3233
12/17/1959,0.3215
12/18/1959,0.3269
12/21/1959,0.3297
12/22/1959,0.3296
12/23/1959,0.3312
12/24/1959,0.3338
12/28/1959,0.3364
12/29/1959,0.3278
12/30/1959,0.3231
12/31/1959,0.3199
1/4/1960,0.3187
1/5/1960,0.318
1/6/1960,0.3195
1/7/1960,0.315
1/8/1960,0.3171
1/11/1960,0.3195
1/12/1960,0.3173
1/13/1960,0.3176
1/14/1960,0.3188
1/15/1960,0.321
1/18/1960,0.3213
1/19/1960,0.3197
1/20/1960,0.3195
1/21/1960,0.3197
1/22/1960,0.3225
1/25/1960,0.3267
1/26/1960,0.3283
1/27/1960,0.3265
1/28/1960,0.324
1/29/1960,0.3201
2/1/1960,0.3166
2/2/1960,0.3186
2/3/1960,0.3181
2/4/1960,0.3236
2/5/1960,0.3222
2/8/1960,0.3233
2/9/1960,0.3265
2/10/1960,0.3255
2/11/1960,0.3274
2/12/1960,0.3286
2/15/1960,0.3255
2/16/1960,0.324
2/17/1960,0.326
