"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 30, 1999","1,480.45","1,489.20","1,504.95","1,476.75","14.71M","0.28%"
"Dec 29, 1999","1,476.35","1,443.90","1,483.40","1,443.90","19.75M","2.37%"
"Dec 28, 1999","1,442.20","1,427.45","1,451.35","1,418.85","28.57M","0.71%"
"Dec 27, 1999","1,432.10","1,459.65","1,460.50","1,427.70","21.85M","-1.84%"
"Dec 24, 1999","1,459.00","1,488.05","1,489.90","1,453.35","25.67M","-1.97%"
"Dec 23, 1999","1,488.35","1,481.60","1,510.85","1,481.60","17.19M","0.45%"
"Dec 22, 1999","1,481.70","1,429.15","1,486.90","1,429.15","44.34M","4.22%"
"Dec 21, 1999","1,421.70","1,422.60","1,437.60","1,413.85","30.20M","-0.05%"
"Dec 20, 1999","1,422.45","1,419.45","1,435.55","1,418.75","31.08M","0.22%"
"Dec 17, 1999","1,419.30","1,420.10","1,439.25","1,414.15","29.85M","-0.03%"
"Dec 16, 1999","1,419.70","1,404.05","1,428.50","1,402.75","23.55M","1.31%"
"Dec 15, 1999","1,401.40","1,396.60","1,410.80","1,376.75","27.41M","0.23%"
"Dec 14, 1999","1,398.25","1,427.90","1,431.25","1,391.10","36.43M","-2.06%"
"Dec 13, 1999","1,427.65","1,440.20","1,444.95","1,421.85","25.63M","-0.84%"
"Dec 10, 1999","1,439.70","1,448.05","1,462.60","1,437.00","30.86M","-0.54%"
"Dec 09, 1999","1,447.55","1,437.10","1,451.50","1,428.05","28.32M","0.62%"
"Dec 08, 1999","1,438.65","1,451.10","1,486.15","1,420.95","55.49M","-0.45%"
"Dec 07, 1999","1,445.15","1,443.20","1,455.40","1,439.65","40.66M","0.16%"
"Dec 06, 1999","1,442.85","1,418.30","1,445.60","1,418.30","36.33M","1.75%"
"Dec 03, 1999","1,418.00","1,409.05","1,436.65","1,409.05","41.86M","0.65%"
"Dec 02, 1999","1,408.85","1,388.20","1,420.70","1,387.20","35.59M","1.45%"
"Dec 01, 1999","1,388.75","1,375.05","1,401.10","1,374.70","30.99M","0.92%"
"Nov 30, 1999","1,376.15","1,384.90","1,386.75","1,370.55","31.63M","-0.61%"
"Nov 29, 1999","1,384.65","1,399.80","1,401.25","1,382.20","29.33M","-1.07%"
"Nov 26, 1999","1,399.60","1,409.35","1,418.15","1,395.50","34.64M","-0.64%"
"Nov 25, 1999","1,408.65","1,395.85","1,417.65","1,395.85","36.85M","0.98%"
"Nov 24, 1999","1,394.95","1,376.50","1,404.05","1,376.50","41.97M","1.43%"
"Nov 22, 1999","1,375.25","1,362.40","1,378.10","1,358.20","30.07M","0.98%"
"Nov 19, 1999","1,361.85","1,365.25","1,381.05","1,360.05","25.39M","-0.18%"
"Nov 18, 1999","1,364.25","1,353.40","1,366.25","1,342.25","24.29M","0.89%"
"Nov 17, 1999","1,352.25","1,367.65","1,381.50","1,352.25","28.94M","-0.41%"
"Nov 16, 1999","1,357.75","1,362.30","1,362.30","1,351.40","24.94M","-0.36%"
"Nov 15, 1999","1,362.70","1,372.75","1,381.10","1,358.15","21.00M","-0.79%"
"Nov 12, 1999","1,373.55","1,389.25","1,389.40","1,368.85","24.60M","-1.16%"
"Nov 11, 1999","1,389.60","1,389.20","1,402.70","1,382.30","36.51M","0.04%"
"Nov 10, 1999","1,389.10","1,371.60","1,392.55","1,371.60","28.09M","1.31%"
