Date,Price,Open,High,Low,Vol.,Change %
31-Dec-09,5201.05,"5,171.20","5,221.85","5,168.75",188.09M,0.61%
30-Dec-09,5169.45,"5,188.75","5,197.05","5,160.10",147.55M,-0.36%
29-Dec-09,5187.95,"5,180.75","5,214.60","5,175.85",160.53M,0.18%
24-Dec-09,5178.40,"5,144.80","5,197.90","5,129.05",202.18M,0.66%
23-Dec-09,5144.60,"4,990.05","5,150.60","4,990.05",250.73M,3.18%
22-Dec-09,4985.85,"4,953.35","4,997.30","4,953.35",164.38M,0.67%
21-Dec-09,4952.60,"4,983.65","4,997.85","4,943.95",168.16M,-0.70%
18-Dec-09,4987.70,"5,042.00","5,043.40","4,979.05",199.33M,-1.07%
17-Dec-09,5041.75,"5,046.65","5,064.20","5,013.15",219.46M,-0.01%
16-Dec-09,5042.05,"5,032.95","5,067.25","5,001.80",202.11M,0.18%
15-Dec-09,5033.05,"5,105.75","5,129.45","5,018.25",198.96M,-1.42%
14-Dec-09,5105.70,"5,117.45","5,156.70","5,090.15",171.68M,-0.23%
11-Dec-09,5117.30,"5,136.05","5,182.55","5,088.40",207.03M,-0.34%
10-Dec-09,5134.65,"5,112.40","5,146.45","5,084.65",212.78M,0.44%
9-Dec-09,5112.00,"5,147.65","5,147.65","5,090.60",240.04M,-0.70%
8-Dec-09,5147.95,"5,068.55","5,152.55","5,058.90",222.74M,1.60%
7-Dec-09,5066.70,"5,108.85","5,131.30","5,051.55",213.12M,-0.83%
4-Dec-09,5108.90,"5,131.70","5,161.80","5,081.85",207.47M,-0.44%
3-Dec-09,5131.70,"5,124.55","5,181.00","5,106.60",225.73M,0.16%
2-Dec-09,5123.25,"5,122.75","5,161.75","5,111.75",284.76M,0.02%
1-Dec-09,5122.00,"5,039.70","5,130.35","5,038.85",301.88M,1.77%
30-Nov-09,5032.70,"4,942.25","5,066.35","4,942.25",299.57M,1.84%
27-Nov-09,4941.75,"5,005.05","5,005.05","4,806.70",304.96M,-1.27%
26-Nov-09,5005.55,"5,116.45","5,116.45","4,986.05",250.07M,-2.01%
25-Nov-09,5108.15,"5,091.55","5,138.00","5,078.35",185.17M,0.35%
24-Nov-09,5090.55,"5,105.00","5,112.85","5,053.50",201.32M,-0.25%
23-Nov-09,5103.55,"5,052.95","5,113.10","5,052.10",193.88M,1.01%
20-Nov-09,5052.45,"4,988.75","5,063.30","4,932.80",289.28M,1.27%
19-Nov-09,4989.00,"5,043.95","5,053.45","4,963.70",286.20M,-1.30%
18-Nov-09,5054.70,"5,061.50","5,079.30","5,041.65",204.35M,-0.15%
17-Nov-09,5062.25,"5,058.95","5,074.00","5,010.15",211.03M,0.08%
16-Nov-09,5058.05,"4,996.50","5,073.20","4,994.00",218.55M,1.18%
13-Nov-09,4998.95,"4,952.35","5,017.90","4,942.65",217.42M,0.93%
12-Nov-09,4952.65,"5,004.40","5,014.40","4,924.75",282.05M,-1.03%
11-Nov-09,5003.95,"4,882.30","5,016.70","4,870.05",251.12M,2.50%
10-Nov-09,4881.70,"4,898.90","4,947.70","4,860.10",273.28M,-0.34%
9-Nov-09,4898.40,"4,796.15","4,905.25","4,789.90",242.56M,2.13%
6-Nov-09,4796.15,"4,767.50","4,836.20","4,764.85",279.50M,0.64%
5-Nov-09,4765.55,"4,711.65","4,776.35","4,610.60",337.19M,1.16%
4-Nov-09,4710.80,"4,567.30","4,717.80","4,565.00",342.88M,3.22%
3-Nov-09,4563.90,"4,712.25","4,729.85","4,538.50",319.39M,-3.14%
30-Oct-09,4711.70,"4,751.10","4,853.65","4,687.50",321.18M,-0.82%
29-Oct-09,4750.55,"4,826.10","4,826.10","4,738.40",354.05M,-1.57%
28-Oct-09,4826.15,"4,846.55","4,867.00","4,784.10",291.61M,-0.42%
27-Oct-09,4846.70,"4,970.55","4,970.55","4,829.50",324.13M,-2.50%
26-Oct-09,4970.90,"4,997.15","5,033.75","4,961.35",201.76M,-0.52%
23-Oct-09,4997.05,"4,986.55","5,054.95","4,983.25",223.34M,0.17%
22-Oct-09,4988.60,"5,063.35","5,064.25","4,968.45",219.15M,-1.48%
21-Oct-09,5063.60,"5,114.85","5,117.45","5,051.65",206.63M,-0.99%
20-Oct-09,5114.45,"5,145.60","5,181.95","5,102.65",199.62M,-0.53%
17-Oct-09,5141.80,"5,159.35","5,176.80","5,124.25",41.29M,-0.01%
16-Oct-09,5142.15,"5,108.65","5,149.65","5,093.20",208.18M,0.65%
15-Oct-09,5108.85,"5,118.55","5,152.25","5,077.10",258.10M,-0.18%
14-Oct-09,5118.20,"5,054.35","5,127.40","5,054.35",243.36M,1.27%
12-Oct-09,5054.25,"4,945.45","5,068.05","4,945.45",187.30M,2.21%
9-Oct-09,4945.20,"4,993.00","5,032.60","4,934.55",215.44M,-1.14%
8-Oct-09,5002.25,"5,011.25","5,043.05","4,971.75",294.68M,0.33%
7-Oct-09,4985.75,"5,031.70","5,077.00","4,972.95",266.22M,-0.83%
6-Oct-09,5027.40,"5,003.65","5,034.70","4,921.05",367.28M,0.48%
5-Oct-09,5003.20,"5,076.05","5,076.05","4,991.95",239.34M,-1.58%
1-Oct-09,5083.40,"5,087.20","5,110.50","5,057.05",224.76M,-0.01%
30-Sep-09,5083.95,"5,007.65","5,087.60","5,004.35",184.79M,1.54%
29-Sep-09,5006.85,"4,959.15","5,020.25","4,959.10",174.80M,0.97%
25-Sep-09,4958.95,"4,985.10","4,994.35","4,931.25",179.96M,-0.55%
24-Sep-09,4986.55,"4,977.15","5,016.70","4,904.05",266.93M,0.33%
23-Sep-09,4969.95,"5,019.95","5,030.75","4,957.05",213.35M,-1.00%
22-Sep-09,5020.20,"4,977.10","5,036.30","4,977.10",189.01M,0.89%
18-Sep-09,4976.05,"4,963.95","4,980.85","4,931.90",222.10M,0.21%
17-Sep-09,4965.55,"4,958.55","5,003.05","4,944.15",270.02M,0.14%
16-Sep-09,4958.40,"4,894.65","4,966.30","4,894.65",240.10M,1.36%
15-Sep-09,4892.10,"4,808.35","4,899.45","4,808.35",215.33M,1.74%
14-Sep-09,4808.60,"4,830.35","4,832.25","4,786.25",168.56M,-0.43%
11-Sep-09,4829.55,"4,819.40","4,856.15","4,791.55",236.39M,0.21%
10-Sep-09,4819.40,"4,814.35","4,889.05","4,807.90",235.71M,0.11%
9-Sep-09,4814.25,"4,804.90","4,825.05","4,783.50",239.16M,0.19%
8-Sep-09,4805.25,"4,782.85","4,842.20","4,782.65",310.69M,0.47%
7-Sep-09,4782.90,"4,682.40","4,790.00","4,679.30",243.16M,2.19%
