Year,Start Month,Start Day,End Month,End Day,Start Date (Temp),End Date (Temp),Start Date (String),End Date (String),World production
1900,1,1,12,31,1/1/1900,12/31/1900,1900-01-02,1900-12-31,5400
1901,1,1,12,31,1/1/1901,12/31/1901,1901-01-01,1901-12-31,5380
1902,1,1,12,31,1/1/1902,12/31/1902,1902-01-01,1902-12-31,5060
1903,1,1,12,31,1/1/1903,12/31/1903,1903-01-01,1903-12-31,5220
1904,1,1,12,31,1/1/1904,12/31/1904,1904-01-01,1904-12-30,5110
1905,1,1,12,31,1/1/1905,12/31/1905,1905-01-02,1905-12-29,5360
1906,1,1,12,31,1/1/1906,12/31/1906,1906-01-01,1906-12-31,5130
1907,1,1,12,31,1/1/1907,12/31/1907,1907-01-01,1907-12-31,5730
1908,1,1,12,31,1/1/1908,12/31/1908,1908-01-01,1908-12-31,6320
1909,1,1,12,31,1/1/1909,12/31/1909,1909-01-01,1909-12-31,6600
1910,1,1,12,31,1/1/1910,12/31/1910,1910-01-03,1910-12-30,6900
1911,1,1,12,31,1/1/1911,12/31/1911,1911-01-02,1911-12-29,7040
1912,1,1,12,31,1/1/1912,12/31/1912,1912-01-01,1912-12-31,6980
1913,1,1,12,31,1/1/1913,12/31/1913,1913-01-01,1913-12-31,7010
1914,1,1,12,31,1/1/1914,12/31/1914,1914-01-01,1914-12-31,5240
1915,1,1,12,31,1/1/1915,12/31/1915,1915-01-01,1915-12-31,5730
1916,1,1,12,31,1/1/1916,12/31/1916,1916-01-03,1916-12-29,5250
1917,1,1,12,31,1/1/1917,12/31/1917,1917-01-01,1917-12-31,5420
1918,1,1,12,31,1/1/1918,12/31/1918,1918-01-01,1918-12-31,6140
1919,1,1,12,31,1/1/1919,12/31/1919,1919-01-01,1919-12-31,5490
1920,1,1,12,31,1/1/1920,12/31/1920,1920-01-01,1920-12-31,5390
1921,1,1,12,31,1/1/1921,12/31/1921,1921-01-03,1921-12-30,5330
1922,1,1,12,31,1/1/1922,12/31/1922,1922-01-02,1922-12-29,6530
1923,1,1,12,31,1/1/1923,12/31/1923,1923-01-01,1923-12-31,7650
1924,1,1,12,31,1/1/1924,12/31/1924,1924-01-01,1924-12-31,7450
1925,1,1,12,31,1/1/1925,12/31/1925,1925-01-01,1925-12-31,7650
1926,1,1,12,31,1/1/1926,12/31/1926,1926-01-01,1926-12-31,7890
1927,1,1,12,31,1/1/1927,12/31/1927,1927-01-03,1927-12-30,7900
1928,1,1,12,31,1/1/1928,12/31/1928,1928-01-02,1928-12-31,8020
1929,1,1,12,31,1/1/1929,12/31/1929,1929-01-01,1929-12-31,8120
1930,1,1,12,31,1/1/1930,12/31/1930,1930-01-01,1930-12-31,7740
1931,1,1,12,31,1/1/1931,12/31/1931,1931-01-01,1931-12-31,6080
1932,1,1,12,31,1/1/1932,12/31/1932,1932-01-01,1932-12-30,5130
1933,1,1,12,31,1/1/1933,12/31/1933,1933-01-02,1933-12-29,5340
1934,1,1,12,31,1/1/1934,12/31/1934,1934-01-01,1934-12-31,5990
1935,1,1,12,31,1/1/1935,12/31/1935,1935-01-01,1935-12-31,6890
1936,1,1,12,31,1/1/1936,12/31/1936,1936-01-01,1936-12-31,7920
1937,1,1,12,31,1/1/1937,12/31/1937,1937-01-01,1937-12-31,8640
1938,1,1,12,31,1/1/1938,12/31/1938,1938-01-03,1938-12-30,8320
1939,1,1,12,31,1/1/1939,12/31/1939,1939-01-02,1939-12-29,8300
1940,1,1,12,31,1/1/1940,12/31/1940,1940-01-01,1940-12-31,8570
1941,1,1,12,31,1/1/1941,12/31/1941,1941-01-01,1941-12-31,8140
1942,1,1,12,31,1/1/1942,12/31/1942,1942-01-01,1942-12-31,7780
1943,1,1,12,31,1/1/1943,12/31/1943,1943-01-01,1943-12-31,6380
1944,1,1,12,31,1/1/1944,12/31/1944,1944-01-03,1944-12-29,5740
1945,1,1,12,31,1/1/1945,12/31/1945,1945-01-01,1945-12-31,5040
1946,1,1,12,31,1/1/1946,12/31/1946,1946-01-01,1946-12-31,3970
1947,1,1,12,31,1/1/1947,12/31/1947,1947-01-01,1947-12-31,5220
1948,1,1,12,31,1/1/1948,12/31/1948,1948-01-01,1948-12-31,5440
1949,1,1,12,31,1/1/1949,12/31/1949,1949-01-03,1949-12-30,5570
1950,1,1,12,31,1/1/1950,12/31/1950,1950-01-02,1950-12-29,6320
1951,1,1,12,31,1/1/1951,12/31/1951,1951-01-01,1951-12-31,6210
