Year,Start Month,Start Day,End Month,End Day,Start Date (Temp),End Date (Temp),Start Date (String),End Date (String),Unit,Silver Supply,Silver Demand,Silver Supply (Millions Ounces),Silver Demand (Millions Ounces)
1950,1,1,12,31,1/1/1950,12/31/1950,1950-01-02,1950-12-29,Millions Troy Ounces,169.5,202.9,186.0,222.6
1951,1,1,12,31,1/1/1951,12/31/1951,1951-01-01,1951-12-31,Millions Troy Ounces,165.5,255.1,181.6,279.9
1952,1,1,12,31,1/1/1952,12/31/1952,1952-01-01,1952-12-31,Millions Troy Ounces,180.6,256.4,198.1,281.3
1953,1,1,12,31,1/1/1953,12/31/1953,1953-01-01,1953-12-31,Millions Troy Ounces,184.7,259.1,202.6,284.3
1954,1,1,12,31,1/1/1954,12/31/1954,1954-01-01,1954-12-31,Millions Troy Ounces,178.6,244.2,195.9,267.9
1955,1,1,12,31,1/1/1955,12/31/1955,1955-01-03,1955-12-30,Millions Troy Ounces,198.0,245.4,217.2,269.2
1956,1,1,12,31,1/1/1956,12/31/1956,1956-01-02,1956-12-31,Millions Troy Ounces,224.0,274.7,245.8,301.4
1957,1,1,12,31,1/1/1957,12/31/1957,1957-01-01,1957-12-31,Millions Troy Ounces,223.4,299.0,245.1,328
1958,1,1,12,31,1/1/1958,12/31/1958,1958-01-01,1958-12-31,Millions Troy Ounces,220.6,272.5,242.0,299
1959,1,1,12,31,1/1/1959,12/31/1959,1959-01-01,1959-12-31,Millions Troy Ounces,271.0,302.4,297.3,331.8
1960,1,1,12,31,1/1/1960,12/31/1960,1960-01-01,1960-12-30,Millions Troy Ounces,343.8,341.7,377.2,374.9
1961,1,1,12,31,1/1/1961,12/31/1961,1961-01-02,1961-12-29,Millions Troy Ounces,449.9,405.6,493.6,445
1962,1,1,12,31,1/1/1962,12/31/1962,1962-01-01,1962-12-31,Millions Troy Ounces,386.8,403.1,424.4,442.3
1963,1,1,12,31,1/1/1963,12/31/1963,1963-01-01,1963-12-31,Millions Troy Ounces,429.0,445.3,470.7,488.6
